No.,名称,经度,纬度,值
134,0,99.140625000,40.078125000,2476.746
135,0,100.546875000,40.078125000,1873.997
136,0,101.953125000,40.078125000,1723.247
137,0,103.359375000,40.078125000,1680.497
138,0,104.765625000,40.078125000,1637.747
139,0,106.171875000,40.078125000,1594.997
140,0,107.578125000,40.078125000,1302.248
141,0,108.984375000,40.078125000,1247.498
142,0,110.390625000,40.078125000,1192.748
143,0,111.796875000,40.078125000,1137.998
144,0,113.203125000,40.078125000,956.999
145,0,114.609375000,40.078125000,684.749
146,0,116.015625000,40.078125000,412.499
147,0,117.421875000,40.078125000,140.250
148,0,118.828125000,40.078125000,-6.760
149,0,120.234375000,40.078125000,-14.518
150,0,121.640625000,40.078125000,-22.276
151,0,123.046875000,40.078125000,-30.035
152,0,124.453125000,40.078125000,-37.668
153,0,125.859375000,40.078125000,-576.537
154,0,127.265625000,40.078125000,-1115.406
155,0,128.671875000,40.078125000,-1654.275
156,0,130.078125000,40.078125000,-1924.210
157,0,131.484375000,40.078125000,-1454.171
158,0,132.890625000,40.078125000,-984.131
159,0,134.296875000,40.078125000,-514.091
160,0,90.703125000,38.671875000,3007.245
161,0,92.109375000,38.671875000,3648.744
162,0,93.515625000,38.671875000,4290.243
163,0,94.921875000,38.671875000,4207.993
164,0,96.328125000,38.671875000,3865.494
165,0,97.734375000,38.671875000,3262.745
166,0,99.140625000,38.671875000,2659.996
167,0,100.546875000,38.671875000,2401.246
168,0,101.953125000,38.671875000,2250.496
169,0,103.359375000,38.671875000,2207.747
170,0,104.765625000,38.671875000,2164.997
171,0,106.171875000,38.671875000,1634.247
172,0,107.578125000,38.671875000,1341.498
173,0,108.984375000,38.671875000,1286.748
174,0,110.390625000,38.671875000,1231.998
175,0,111.796875000,38.671875000,935.499
176,0,113.203125000,38.671875000,754.499
177,0,114.609375000,38.671875000,688.999
178,0,116.015625000,38.671875000,416.749
179,0,117.421875000,38.671875000,144.500
180,0,118.828125000,38.671875000,-2.510
181,0,120.234375000,38.671875000,-24.279
182,0,121.640625000,38.671875000,-32.038
183,0,123.046875000,38.671875000,-39.796
184,0,124.453125000,38.671875000,-47.429
185,0,125.859375000,38.671875000,-54.938
186,0,127.265625000,38.671875000,-593.807
187,0,128.671875000,38.671875000,-1132.676
188,0,130.078125000,38.671875000,-1402.611
189,0,131.484375000,38.671875000,-1403.612
190,0,132.890625000,38.671875000,-933.572
191,0,134.296875000,38.671875000,-463.533
192,0,90.703125000,37.265625000,3914.244
193,0,92.109375000,37.265625000,4555.743
194,0,93.515625000,37.265625000,4473.493
195,0,94.921875000,37.265625000,4391.243
196,0,96.328125000,37.265625000,4048.743
197,0,97.734375000,37.265625000,3445.994
198,0,99.140625000,37.265625000,3187.245
199,0,100.546875000,37.265625000,2928.495
200,0,101.953125000,37.265625000,2777.746
201,0,103.359375000,37.265625000,2734.996
202,0,104.765625000,37.265625000,2204.247
203,0,106.171875000,37.265625000,1673.497
204,0,107.578125000,37.265625000,1380.748
205,0,108.984375000,37.265625000,1325.998
206,0,110.390625000,37.265625000,1029.498
207,0,111.796875000,37.265625000,732.999
208,0,113.203125000,37.265625000,551.999
209,0,114.609375000,37.265625000,486.499
210,0,116.015625000,37.265625000,420.999
211,0,117.421875000,37.265625000,148.750
212,0,118.828125000,37.265625000,1.740
213,0,120.234375000,37.265625000,-20.029
214,0,121.640625000,37.265625000,-41.799
215,0,123.046875000,37.265625000,-49.557
216,0,124.453125000,37.265625000,-57.191
217,0,125.859375000,37.265625000,-64.699
218,0,127.265625000,37.265625000,-72.208
219,0,128.671875000,37.265625000,-611.077
220,0,130.078125000,37.265625000,-881.012
221,0,131.484375000,37.265625000,-882.013
222,0,132.890625000,37.265625000,-883.014
223,0,134.296875000,37.265625000,-412.974
224,0,90.703125000,35.859375000,4821.243
225,0,92.109375000,35.859375000,4738.993
226,0,93.515625000,35.859375000,4656.743
227,0,94.921875000,35.859375000,4574.493
228,0,96.328125000,35.859375000,4231.993
229,0,97.734375000,35.859375000,3973.244
230,0,99.140625000,35.859375000,3714.494
231,0,100.546875000,35.859375000,3455.744
232,0,101.953125000,35.859375000,3304.995
233,0,103.359375000,35.859375000,2774.246
234,0,104.765625000,35.859375000,2243.496
235,0,106.171875000,35.859375000,1712.747
236,0,107.578125000,35.859375000,1419.998
237,0,108.984375000,35.859375000,1123.498
238,0,110.390625000,35.859375000,826.999
239,0,111.796875000,35.859375000,530.499
240,0,113.203125000,35.859375000,349.499
241,0,114.609375000,35.859375000,284.000
242,0,116.015625000,35.859375000,218.500
243,0,117.421875000,35.859375000,153.000
244,0,118.828125000,35.859375000,5.990
245,0,120.234375000,35.859375000,-15.779
246,0,121.640625000,35.859375000,-37.549
247,0,123.046875000,35.859375000,-59.318
248,0,124.453125000,35.859375000,-66.952
249,0,125.859375000,35.859375000,-74.461
250,0,127.265625000,35.859375000,-81.969
251,0,128.671875000,35.859375000,-89.478
252,0,130.078125000,35.859375000,-359.413
253,0,131.484375000,35.859375000,-360.414
254,0,132.890625000,35.859375000,-361.415
255,0,134.296875000,35.859375000,-362.416
256,0,90.703125000,34.453125000,4362.243
257,0,92.109375000,34.453125000,4279.993
258,0,93.515625000,34.453125000,4197.743
259,0,94.921875000,34.453125000,4115.494
260,0,96.328125000,34.453125000,3944.994
261,0,97.734375000,34.453125000,3686.244
262,0,99.140625000,34.453125000,3427.494
263,0,100.546875000,34.453125000,3168.745
264,0,101.953125000,34.453125000,3311.870
265,0,103.359375000,34.453125000,2781.121
266,0,104.765625000,34.453125000,2250.371
267,0,106.171875000,34.453125000,1719.622
268,0,107.578125000,34.453125000,1291.498
269,0,108.984375000,34.453125000,994.998
270,0,110.390625000,34.453125000,698.499
271,0,111.796875000,34.453125000,401.999
272,0,113.203125000,34.453125000,328.999
273,0,114.609375000,34.453125000,263.500
274,0,116.015625000,34.453125000,198.000
275,0,117.421875000,34.453125000,132.500
276,0,118.828125000,34.453125000,88.865
277,0,120.234375000,34.453125000,67.096
278,0,121.640625000,34.453125000,45.326
279,0,123.046875000,34.453125000,23.556
280,0,124.453125000,34.453125000,-35.568
281,0,125.859375000,34.453125000,-43.077
282,0,127.265625000,34.453125000,-50.586
283,0,128.671875000,34.453125000,-58.094
284,0,130.078125000,34.453125000,-62.349
285,0,131.484375000,34.453125000,-63.350
286,0,132.890625000,34.453125000,-64.352
287,0,134.296875000,34.453125000,-65.353
288,0,90.703125000,33.046875000,4301.493
289,0,92.109375000,33.046875000,3178.745
290,0,93.515625000,33.046875000,3096.495
291,0,94.921875000,33.046875000,3014.245
292,0,96.328125000,33.046875000,2843.745
293,0,97.734375000,33.046875000,2584.996
294,0,99.140625000,33.046875000,2326.246
295,0,100.546875000,33.046875000,3293.495
296,0,101.953125000,33.046875000,3436.619
297,0,103.359375000,33.046875000,2755.621
298,0,104.765625000,33.046875000,2224.872
299,0,106.171875000,33.046875000,1694.122
300,0,107.578125000,33.046875000,1265.998
301,0,108.984375000,33.046875000,940.499
302,0,110.390625000,33.046875000,643.999
303,0,111.796875000,33.046875000,347.499
304,0,113.203125000,33.046875000,274.500
305,0,114.609375000,33.046875000,424.999
306,0,116.015625000,33.046875000,359.499
307,0,117.421875000,33.046875000,294.000
