No.,名称,经度,纬度,值
181,0,116.367187500,41.835937500,850.749
182,0,117.070312500,41.835937500,768.999
183,0,117.773437500,41.835937500,687.249
184,0,118.476562500,41.835937500,609.503
185,0,119.179687500,41.835937500,509.131
186,0,119.882812500,41.835937500,390.824
187,0,120.585937500,41.835937500,231.039
188,0,121.289062500,41.835937500,117.520
189,0,121.992187500,41.835937500,4.000
190,0,122.695312500,41.835937500,24.307
191,0,123.398437500,41.835937500,39.428
192,0,101.601562500,41.132812500,1316.373
193,0,102.304687500,41.132812500,1412.373
194,0,103.007812500,41.132812500,1369.873
195,0,103.710937500,41.132812500,1327.373
196,0,104.414062500,41.132812500,1305.998
197,0,105.117187500,41.132812500,1305.748
198,0,105.820312500,41.132812500,1305.498
199,0,106.523437500,41.132812500,1226.998
200,0,107.226562500,41.132812500,1200.123
201,0,107.929687500,41.132812500,1224.873
202,0,108.632812500,41.132812500,1249.623
203,0,109.335937500,41.132812500,1299.123
204,0,110.039062500,41.132812500,1284.123
205,0,110.742187500,41.132812500,1204.623
206,0,111.445312500,41.132812500,1125.123
207,0,112.148437500,41.132812500,1162.623
208,0,112.851562500,41.132812500,1184.873
209,0,113.554687500,41.132812500,1191.873
210,0,114.257812500,41.132812500,959.873
211,0,114.960937500,41.132812500,727.874
212,0,115.664062500,41.132812500,591.749
213,0,116.367187500,41.132812500,551.499
214,0,117.070312500,41.132812500,511.249
215,0,117.773437500,41.132812500,429.499
216,0,118.476562500,41.132812500,351.753
217,0,119.179687500,41.132812500,281.363
218,0,119.882812500,41.132812500,159.886
219,0,120.585937500,41.132812500,69.737
220,0,121.289062500,41.132812500,-0.501
221,0,121.992187500,41.132812500,-0.501
222,0,122.695312500,41.132812500,14.364
223,0,123.398437500,41.132812500,20.626
224,0,101.601562500,40.429687500,1458.123
225,0,102.304687500,40.429687500,1415.623
226,0,103.007812500,40.429687500,1373.123
227,0,103.710937500,40.429687500,1330.623
228,0,104.414062500,40.429687500,1309.248
229,0,105.117187500,40.429687500,1308.998
230,0,105.820312500,40.429687500,1308.748
231,0,106.523437500,40.429687500,1308.498
232,0,107.226562500,40.429687500,1281.623
233,0,107.929687500,40.429687500,1306.373
234,0,108.632812500,40.429687500,1331.123
235,0,109.335937500,40.429687500,1355.873
236,0,110.039062500,40.429687500,1340.873
237,0,110.742187500,40.429687500,1261.373
238,0,111.445312500,40.429687500,1181.873
239,0,112.148437500,40.429687500,1102.373
240,0,112.851562500,40.429687500,1124.623
241,0,113.554687500,40.429687500,892.624
242,0,114.257812500,40.429687500,660.624
243,0,114.960937500,40.429687500,428.624
244,0,115.664062500,40.429687500,292.500
245,0,116.367187500,40.429687500,252.250
246,0,117.070312500,40.429687500,212.000
247,0,117.773437500,40.429687500,171.750
248,0,118.476562500,40.429687500,94.004
249,0,119.179687500,40.429687500,20.261
250,0,119.882812500,40.429687500,-1.244
251,0,120.585937500,40.429687500,-7.119
252,0,121.289062500,40.429687500,-11.791
253,0,121.992187500,40.429687500,-0.501
254,0,122.695312500,40.429687500,4.024
255,0,123.398437500,40.429687500,0.631
256,0,101.601562500,39.726562500,1646.997
257,0,102.304687500,39.726562500,1604.497
258,0,103.007812500,39.726562500,1561.998
259,0,103.710937500,39.726562500,1519.498
260,0,104.414062500,39.726562500,1394.123
261,0,105.117187500,39.726562500,1393.873
262,0,105.820312500,39.726562500,1393.623
263,0,106.523437500,39.726562500,1393.373
264,0,107.226562500,39.726562500,1306.998
265,0,107.929687500,39.726562500,1331.748
266,0,108.632812500,39.726562500,1356.498
267,0,109.335937500,39.726562500,1381.248
268,0,110.039062500,39.726562500,1353.873
269,0,110.742187500,39.726562500,1274.373
270,0,111.445312500,39.726562500,1194.873
271,0,112.148437500,39.726562500,1115.373
272,0,112.851562500,39.726562500,989.623
273,0,113.554687500,39.726562500,757.624
274,0,114.257812500,39.726562500,525.624
275,0,114.960937500,39.726562500,293.625
276,0,115.664062500,39.726562500,133.416
277,0,116.367187500,39.726562500,94.710
278,0,117.070312500,39.726562500,49.804
279,0,117.773437500,39.726562500,9.554
280,0,118.476562500,39.726562500,-94.141
281,0,119.179687500,39.726562500,-0.501
282,0,119.882812500,39.726562500,-9.093
283,0,120.585937500,39.726562500,-9.934
284,0,121.289062500,39.726562500,-0.501
285,0,121.992187500,39.726562500,-0.501
286,0,122.695312500,39.726562500,-7.151
287,0,123.398437500,39.726562500,-20.802
